reporting_organisation,donor,project_status,governorate,district,sub_district,community,neighbourhood,camp_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,neighbourhood_pcode,admin5pcode,location_other,village_camps,latitude_y,longitude_x,cluster,response_type,families,female_headed_hh,beneficiaries,men_18_60,women_18_60,boys_18,girls_18,elderly_males_60,elderly_females_60,idps,host_communities,returnees,pwds,previously_assisted,newly_assisted,conditionality,restrictions,cash_delivery_mechanism,voucher_delivery_mechanism,currency,transfer_value,transfer_frequency,num_payments,fx_rate,total_value_per_hh,total_usd,targeting_criteria,start_date,end_date,comments,contact_person,position,email,phone,month_of_activity,abbreviation,implementing_partner,activity,transfer_value_usd
NA,ECOH,Completed,Aleppo,Jebel Saman,Daret Azza,Daret Azza,NA,NA,SY02,SY0200,SY020004,C1139,NA,NA,reception centers,village,36.285021,36.851091,Multipurpose - One time,Earthquake,107,57,566,111,112,162,181,NA,NA,107,0,NA,33,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,16050,Blanket,2023-02-10,2023-02-10,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,28-02-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,GFFO,Completed,Aleppo,Jebel Saman,Atareb,Atareb,NA,NA,SY02,SY0200,SY020001,C1022,NA,NA,communities,village,36.137884,36.828382,Multipurpose - One time,Earthquake,726,302,4203,900,949,1211,1146,NA,NA,100,626,NA,160,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,108900,Blanket,2023-02-10,2023-02-10,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,28-02-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,GFFO/DEC,Completed,Idleb,Harim,Dana,Deir Hassan - Darhashan,NA,NA,SY07,SY0703,SY070301,C4129,NA,NA,communities,village,36.233725,36.762754,Multipurpose - One time,Earthquake,1152,557,5887,1283,1446,1651,1507,NA,NA,369,783,NA,205,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,172800,Blanket,2023-02-10,2023-02-10,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,28-02-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,ECOH,Completed,Idleb,Harim,Dana,Tilaada,NA,NA,SY07,SY0703,SY070301,C4124,NA,NA,reception centers,village,36.251766,36.800669,Multipurpose - One time,Earthquake,357,155,2200,419,468,679,634,NA,NA,137,220,NA,77,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,53550,Blanket,2023-02-13,2023-02-13,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,28-02-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,ECOH,Completed,Aleppo,Jebel Saman,Atareb,Jeineh,NA,NA,SY02,SY0200,SY020001,C1032,NA,NA,communities,village,36.117087,36.801449,Multipurpose - One time,Earthquake,589,206,4805,803,870,1087,1048,NA,NA,163,396,NA,69,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,88350,Blanket,2023-02-14,2023-02-14,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,28-02-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,GFFO,Completed,Aleppo,Jebel Saman,Atareb,Maaret Atarib,NA,NA,SY02,SY0200,SY020001,C1038,NA,NA,communities,village,36.157567,36.81829,Multipurpose - One time,Earthquake,301,146,1860,352,384,576,548,NA,NA,57,244,NA,48,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,45150,Blanket,2023-02-14,2023-02-14,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,28-02-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,ECOH,Completed,Aleppo,Jebel Saman,Atareb,Kafr Naseh Elatareb,NA,NA,SY02,SY0200,SY020001,C1036,NA,NA,communities,village,36.135897,36.788264,Multipurpose - One time,Earthquake,443,164,3256,649,694,954,922,NA,NA,32,411,NA,64,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,66450,Blanket,2023-02-14,2023-02-14,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,28-02-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,ECOH,Completed,Aleppo,Jebel Saman,Atareb,Batbu,NA,NA,SY02,SY0200,SY020001,C1025,NA,NA,communities,village,36.133376,36.739787,Multipurpose - One time,Earthquake,343,203,1987,344,463,619,561,NA,NA,268,75,NA,56,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,51450,Blanket,2023-02-14,2023-02-14,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,28-02-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,ECOH/GFFO/DEC,Completed,Idleb,Harim,Dana,Dana (Dana),NA,NA,SY07,SY0703,SY070301,C4126,NA,NA,communities,village,36.213601,36.76958,Multipurpose - One time,Earthquake,2697,935,14563,3106,3427,4214,3814,NA,NA,1350,1346,1,500,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,404550,Blanket,2023-02-14,2023-02-14,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,28-02-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,GFFO/Gates,Completed,Aleppo,Jebel Saman,Daret Azza,Daret Azza,NA,NA,SY02,SY0200,SY020004,C1139,NA,NA,communities,village,36.285021,36.851091,Multipurpose - One time,Earthquake,1930,835,10360,2297,2403,2896,2764,NA,NA,361,1565,4,314,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,289500,Blanket,2023-03-22,2023-03-28,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-03-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,ECOH,Completed,Idleb,Harim,Dana,Burdaqly,NA,NA,SY07,SY0703,SY070301,C6693,NA,NA,reception centers,village,36.21333,36.73179,Multipurpose - One time,Earthquake,79,32,414,78,93,121,124,NA,NA,79,0,NA,18,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,11850,Blanket,2023-02-16,2023-02-16,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,28-02-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,GFFO,Completed,Aleppo,Jebel Saman,Daret Azza,Deir Samaan,NA,NA,SY02,SY0200,SY020004,C6766,NA,NA,communities,village,36.324655,36.83597,Multipurpose - One time,Earthquake,301,129,1671,357,398,472,444,NA,NA,7,294,NA,50,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,45150,Blanket,2023-03-22,2023-03-22,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-03-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,ECOH,Completed,Aleppo,Jebel Saman,Atareb,Kafr Karmin (co),NA,NA,SY02,SY0200,SY020001,C1035,NA,NA,communities,village,36.163135,36.791893,Multipurpose - One time,Earthquake,559,259,3487,653,736,1060,1040,NA,NA,163,396,NA,69,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,83850,Blanket,2023-02-24,2023-02-24,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,28-02-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,DEC,Completed,Aleppo,Jebel Saman,Daret Azza,Qatoura,NA,NA,SY02,SY0200,SY020004,C8116,NA,NA,communities,village,36.302303,36.83015,Multipurpose - One time,Earthquake,99,33,605,98,117,215,175,NA,NA,0,99,NA,10,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,14850,Blanket,2023-03-27,2023-03-27,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-03-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,DEC,Completed,Aleppo,Jebel Saman,Atareb,Sahara,NA,NA,SY02,SY0200,SY020001,C1023,NA,NA,communities,village,36.183161,36.842719,Multipurpose - One time,Earthquake,639,297,3684,738,795,1084,1067,NA,NA,74,565,NA,116,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,95850,Blanket,2023-03-29,2023-03-29,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-03-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,ECOH,Completed,Aleppo,Jebel Saman,Atareb,Tuwama,NA,NA,SY02,SY0200,SY020001,C1020,NA,NA,communities,village,36.194153,36.809482,Multipurpose - One time,Earthquake,45,16,270,45,49,96,80,NA,NA,45,0,NA,2,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,6750,Blanket,2023-02-16,2023-02-16,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,28-02-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,DEC,Completed,Aleppo,Jebel Saman,Daret Azza,Zarzita,NA,NA,SY02,SY0200,SY020004,C1138,NA,NA,communities,village,36.293383,36.799957,Multipurpose - One time,Earthquake,79,32,392,80,93,113,106,NA,NA,17,62,NA,4,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,11850,Blanket,2023-03-27,2023-03-27,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-03-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,DEC,Completed,Aleppo,Jebel Saman,Daret Azza,NA,NA,NA,SY02,SY0200,SY020004,NA,NA,NA,communities,village,NA,NA,Multipurpose - One time,Earthquake,72,19,384,94,96,115,79,NA,NA,0,72,NA,15,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,10800,Blanket,2023-03-27,2023-03-27,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-03-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,ECOH,Completed,Aleppo,Jebel Saman,Atareb,Abin Samaan,NA,NA,SY02,SY0200,SY020001,C1026,NA,NA,communities,village,36.089467,36.763108,Multipurpose - One time,Earthquake,897,291,5819,1211,1349,1618,1641,NA,NA,76,820,1,150,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,134550,Blanket,2023-02-19,2023-02-19,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,28-02-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,DEC,Completed,Aleppo,Jebel Saman,Atareb,Abzemo,NA,NA,SY02,SY0200,SY020001,C1030,NA,NA,communities,village,36.165468,36.86464,Multipurpose - One time,Earthquake,579,244,3136,653,715,919,849,NA,NA,62,517,NA,100,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,86850,Blanket,2023-04-04,2023-04-04,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-05-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,DEC,Completed,Idleb,Idleb,Idleb,Idleb,NA,NA,SY07,SY0700,SY070000,C3871,NA,NA,communities,village,35.929008,36.635276,Multipurpose - One time,Earthquake,2953,1661,15543,3298,3672,4298,4275,NA,NA,661,2292,NA,357,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,442950,Blanket,2023-03-23,2023-04-30,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-05-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,DEC,Completed,Idleb,Idleb,Idleb,Idleb,NA,NA,SY07,SY0700,SY070000,C3871,NA,NA,communities,village,35.929008,36.635276,Multipurpose - One time,Earthquake,530,339,2782,606,733,748,695,NA,NA,133,397,NA,108,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,79500,Blanket,2023-03-23,2023-05-30,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-05-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,DEC,Completed,Idleb,Idleb,Idleb,Idleb,NA,NA,SY07,SY0700,SY070000,C3871,NA,NA,communities,village,35.929008,36.635276,Multipurpose - One time,Earthquake,880,533,4563,1036,1187,1269,1071,NA,NA,166,714,NA,131,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,132000,Blanket,2023-03-23,2023-05-30,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,30-06-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,DEC,Completed,Idleb,Harim,Dana,Tal Elkaramej,NA,NA,SY07,SY0703,SY070301,C4122,NA,NA,communities,village,36.186903,36.768526,Multipurpose - One time,Earthquake,597,252,3005,654,712,858,781,NA,NA,131,466,NA,69,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,89550,Blanket,2023-06-01,2023-06-30,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,30-06-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,DEC,Completed,Idleb,Harim,Dana,Tal Elkaramej,NA,NA,SY07,SY0703,SY070301,C4122,NA,NA,communities,village,36.186903,36.768526,Multipurpose - One time,Earthquake,179,71,948,209,216,269,254,NA,NA,30,149,NA,17,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,26850,Blanket,2023-06-01,2023-06-30,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,30-06-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,DEC,Completed,Idleb,Idleb,Idleb,Mastumeh,NA,NA,SY07,SY0700,SY070000,C3872,NA,NA,communities,village,35.872589,36.631269,Multipurpose - One time,Earthquake,652,292,3221,712,837,829,843,NA,NA,65,587,NA,82,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,97800,Blanket,2023-06-01,2023-06-30,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,30-06-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,IRC fund/Gates,Completed,Idleb,Idleb,Maaret Tamsrin,Ma'arrat Tamasrin,NA,NA,SY07,SY0700,SY070005,C3947,NA,NA,communities,village,36.013896,36.672724,Multipurpose - One time,Earthquake,1693,720,8937,1966,2119,2542,2310,NA,NA,745,948,NA,402,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,253950,Blanket,2023-07-01,2023-07-31,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-07-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,IRC fund,Completed,Idleb,Idleb,Maaret Tamsrin,Ma'arrat Tamasrin,NA,NA,SY07,SY0700,SY070005,C3947,NA,NA,communities,village,36.013896,36.672724,Multipurpose - One time,Earthquake,986,415,5160,1075,1198,1517,1370,NA,NA,351,635,0,305,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,147900,Blanket,2023-07-01,2023-07-31,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-07-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,Metlife,Completed,Idleb,Harim,Armanaz,Sheikh Yousef,NA,NA,SY07,SY0703,SY070305,C4179,NA,NA,communities,village,35.967625,36.511132,Multipurpose - One time,Earthquake,582,308,3049,616,746,830,857,NA,NA,175,407,NA,189,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,87300,Blanket,2023-08-01,2023-08-31,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-08-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,IRC fund,Completed,Idleb,Idleb,Idleb,Kafruhin,NA,NA,SY07,SY0700,SY070000,C3879,NA,NA,communities,village,35.973629,36.562824,Multipurpose - One time,Earthquake,196,86,1110,232,250,331,297,NA,NA,29,167,NA,37,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,29400,Blanket,2023-08-01,2023-08-31,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-08-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,IRC fund-Metlife,Completed,Idleb,Idleb,Idleb,Falyun,NA,NA,SY07,SY0700,SY070000,C3877,NA,NA,communities,village,35.880043,36.615272,Multipurpose - One time,Earthquake,604,343,3306,594,733,1061,918,NA,NA,86,518,NA,153,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,90600,Blanket,2023-08-01,2023-08-31,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-08-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,IRC fund,Completed,Idleb,Ariha,Ariha,Berjhab,NA,NA,SY07,SY0705,SY070500,C4276,NA,NA,communities,village,35.883704,36.536359,Multipurpose - One time,Earthquake,201,117,1153,211,246,351,345,NA,NA,14,187,NA,56,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,30150,Blanket,2023-08-01,2023-08-31,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-08-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,IRC fund,Completed,Idleb,Ariha,Ariha,Thaheriya (Ariha),NA,NA,SY07,SY0705,SY070500,C4272,NA,NA,communities,village,35.871255,36.516155,Multipurpose - One time,Earthquake,107,35,627,112,142,190,183,NA,NA,12,95,NA,25,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,16050,Blanket,2023-08-01,2023-08-31,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-08-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,IRC fund,Completed,Idleb,Idleb,Idleb,NA,NA,NA,SY07,SY0700,SY070000,NA,NA,NA,communities,village,NA,NA,Multipurpose - One time,Earthquake,95,66,556,109,121,178,148,NA,NA,6,89,NA,33,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,14250,Blanket,2023-08-01,2023-08-31,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-08-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,IRC fund,Completed,Idleb,Idleb,Maaret Tamsrin,Ma'arrat Tamasrin,NA,NA,SY07,SY0700,SY070005,C3947,NA,NA,communities,village,36.013896,36.672724,Multipurpose - One time,Earthquake,152,76,799,174,189,231,205,NA,NA,54,98,NA,41,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,22800,Blanket,2023-08-01,2023-08-31,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-08-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,IRC fund,Completed,Idleb,Idleb,Idleb,Falyun,NA,NA,SY07,SY0700,SY070000,C3877,NA,NA,communities,village,35.880043,36.615272,Multipurpose - One time,Earthquake,144,72,719,149,161,233,176,NA,NA,21,123,NA,32,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,21600,Blanket,2023-09-01,2023-09-30,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,30-09-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,IRC fund,Completed,Idleb,Ariha,Ariha,Korin,NA,NA,SY07,SY0705,SY070500,C4288,NA,NA,communities,village,35.863816,36.568696,Multipurpose - One time,Earthquake,873,275,4324,965,1009,1226,1124,NA,NA,51,822,NA,175,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,130950,Blanket,2023-09-01,2023-09-30,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,30-09-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,IRC fund,Completed,Idleb,Harim,Dana,Aqrabat (Dana),NA,NA,SY07,SY0703,SY070301,C4127,NA,NA,communities,village,36.269945,36.70786,Multipurpose - One time,Earthquake,776,383,3914,800,941,1116,1057,NA,NA,506,261,7,229,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,116400,Blanket,2023-09-01,2023-09-30,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,30-09-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,IRC fund,Completed,Aleppo,Jebel Saman,Atareb,Tuwama,NA,NA,SY02,SY0200,SY020001,C1020,NA,NA,communities,village,36.194153,36.809482,Multipurpose - One time,Earthquake,198,114,1046,202,230,298,319,NA,NA,31,164,3,56,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,29700,Blanket,2023-09-01,2023-09-30,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,30-09-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,UBS,Completed,Idleb,Harim,Dana,Termanin,NA,NA,SY07,SY0703,SY070301,C4125,NA,NA,communities,village,36.228402,36.815206,Multipurpose - One time,Earthquake,597,248,3167,662,704,943,858,NA,NA,211,383,3,106,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,89550,Blanket,2023-11-01,2023-11-30,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,30-11-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,UBS,Completed,Aleppo,Jebel Saman,Atareb,Tuwama,NA,NA,SY02,SY0200,SY020001,C1020,NA,NA,communities,village,36.194153,36.809482,Multipurpose - One time,Earthquake,425,213,2207,403,490,665,649,NA,NA,105,316,4,110,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,63750,Blanket,2023-11-01,2023-11-30,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,30-11-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,UBS,Completed,Idleb,Idleb,Maaret Tamsrin,Haranbush,NA,NA,SY07,SY0700,SY070005,C3943,NA,NA,communities,village,36.074335,36.638895,Multipurpose - One time,Earthquake,816,377,4701,1018,1245,1172,1267,NA,NA,92,724,0,266,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,122400,Blanket,2023-12-01,2023-12-31,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-12-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,UBS,Completed,Idleb,Idleb,Idleb,Sijer - Bqesemtoh,NA,NA,SY07,SY0700,SY070000,C3873,NA,NA,communities,village,35.944802,36.545779,Multipurpose - One time,Earthquake,509,244,2658,578,710,666,707,NA,NA,455,54,0,196,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,76350,Blanket,2023-12-01,2023-12-31,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-12-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,UBS,Completed,Idleb,Harim,Armanaz,Hafasraja,NA,NA,SY07,SY0703,SY070305,C4178,NA,NA,communities,village,36.018013,36.528467,Multipurpose - One time,Earthquake,633,337,3458,686,952,853,967,NA,NA,179,454,NA,259,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,94950,Blanket,2023-12-01,2023-12-31,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-12-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,UBS,Completed,Idleb,Harim,Dana,Termanin,NA,NA,SY07,SY0703,SY070301,C4125,NA,NA,communities,village,36.228402,36.815206,Multipurpose - One time,Earthquake,133,60,691,163,178,164,186,NA,NA,54,79,0,46,No,Mixed,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,89550,Blanket,2023-12-01,2023-12-31,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,31-12-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
